[0.11032432 0.0954835 ]
[0.11256643 0.06300248]
[0.13554958 0.05289715]
[0.11476445 0.05622869]
[0.11146431 0.02806436]
[0.11273219 0.02968411]
[0.09611689 0.02814565]
[0.10689035 0.01994153]
[0.08785863 0.02502716]
[0.09968017 0.02747558]
[0.08799351 0.02291781]
[0.1087869  0.02403642]
[0.08848038 0.01920667]
[0.11841096 0.01937918]
[0.080383   0.01667318]
[0.08905888 0.02079571]
[0.09050565 0.02262299]
[0.08980436 0.01838621]
[0.11214222 0.02217116]
[0.08775606 0.02089471]
[0.08320449 0.01993492]
[0.08162119 0.01615148]
[0.0805798  0.01581316]
[0.0832694  0.02262806]
[0.07566853 0.0176355 ]
[0.09338523 0.01837647]
[0.0839588  0.01474411]
[0.08796088 0.01718527]
[0.07954089 0.0171881 ]
[0.07486045 0.01965163]
